Ano;Mês;UF;IMPOSTO SOBRE IMPORTAÇÃO;IMPOSTO SOBRE EXPORTAÇÃO;IRPF;COFINS;RECEITA PREVIDENCIÁRIA;IRRF - RENDIMENTOS DO TRABALHO
2000;Abril;MS;141516.0;0.0;6716641.0;11223695.0;0.0;3672507.0
2000;Abril;MG;27821946.0;0.0;66396781.0;187461244.0;0.0;74338873.0
2000;Abril;PA;1182931.0;0.0;6204840.0;17062165.0;0.0;11519619.0
2000;Abril;PB;998391.0;0.0;5152700.0;9464873.0;0.0;7058509.0
2000;Abril;PR;53090478.0;0.0;46365798.0;127468351.0;0.0;39539839.0
2000;Abril;PE;8534629.0;0.0;18384596.0;46558690.0;0.0;19792232.0
2000;Abril;PI;218222.0;0.0;3632799.0;6694621.0;0.0;3564655.0
2000;Abril;RJ;42783664.0;0.0;149114754.0;683454439.0;0.0;197087931.0
2000;Abril;RN;522119.0;0.0;5017059.0;11095185.0;0.0;6687845.0
2000;Abril;RS;20469201.0;4834.0;64326417.0;186774504.0;0.0;57585927.0
2000;Abril;RO;3564.0;0.0;1814647.0;5586771.0;0.0;2740524.0
2000;Abril;RR;1129.0;0.0;658627.0;1104880.0;0.0;797063.0
2000;Abril;SC;13415570.0;4597.0;20562969.0;86661696.0;0.0;21027265.0
2000;Abril;SP;318429601.0;4172.0;318041733.0;1226112154.0;0.0;488063147.0
2000;Abril;SE;903877.0;0.0;4947149.0;7655618.0;0.0;3843762.0
2000;Abril;TO;5826.0;0.0;661563.0;2686119.0;0.0;593486.0
2000;Maio;AC;349.0;0.0;516710.0;1265317.0;0.0;1522129.0
2000;Maio;AL;712640.0;0.0;2097152.0;8190210.0;0.0;6267385.0
2000;Maio;AP;47246.0;0.0;459139.0;1426620.0;0.0;2449455.0
2000;Maio;AM;16644627.0;0.0;2494202.0;50418626.0;0.0;14458919.0
2000;Maio;BA;12532051.0;0.0;8087578.0;74267252.0;0.0;33664187.0
2000;Maio;CE;7772856.0;0.0;7125189.0;37800758.0;0.0;22128691.0
2000;Maio;DF;1623836.0;0.0;13497805.0;102895583.0;0.0;209969636.0
2000;Maio;ES;44995767.0;0.0;4789525.0;40129306.0;0.0;11527778.0
2000;Maio;GO;5867763.0;0.0;6044682.0;44757736.0;0.0;11643680.0
2000;Maio;MA;2703211.0;0.0;1946199.0;8641753.0;0.0;5408968.0
2000;Maio;MT;440969.0;71.0;2587083.0;13908794.0;0.0;5448236.0
2000;Maio;MS;145637.0;21.0;3947077.0;11162062.0;0.0;4899995.0
2000;Maio;MG;41614316.0;48.0;28124107.0;201468756.0;0.0;64166741.0
2000;Maio;PA;1782604.0;0.0;3891059.0;16000870.0;0.0;11571810.0
2000;Maio;PB;978413.0;477.0;2749702.0;11051909.0;0.0;8867882.0
2000;Maio;PR;62859100.0;0.0;21807891.0;131366903.0;0.0;53731635.0
2000;Maio;PE;8017913.0;14.0;9689053.0;49344630.0;0.0;26056292.0
2000;Maio;PI;303473.0;0.0;1849423.0;6975897.0;0.0;2515305.0
2000;Maio;RJ;58386206.0;46.0;76288865.0;675524381.0;0.0;280196920.0
2000;Maio;RN;1069075.0;0.0;2229129.0;12592039.0;0.0;6191744.0
2000;Maio;RS;32480839.0;8719.0;31223450.0;187391980.0;0.0;67901519.0
2000;Maio;RO;24664.0;0.0;989745.0;4994776.0;0.0;2831112.0
2000;Maio;RR;19110.0;0.0;437825.0;1245292.0;0.0;1405520.0
2000;Maio;SC;13308720.0;10057.0;9154237.0;88248076.0;0.0;24444196.0
2000;Maio;SP;389944160.0;168.0;158499981.0;1212163785.0;0.0;594850713.0
2000;Maio;SE;920929.0;0.0;2143917.0;8047420.0;0.0;4651359.0
2000;Maio;TO;6568.0;0.0;422367.0;2690196.0;0.0;904291.0
2000;Junho;AC;636.0;0.0;439994.0;1405990.0;0.0;1751749.0
2000;Junho;AL;429780.0;35180.0;1662674.0;10969524.0;0.0;4449804.0
2000;Junho;AP;42799.0;0.0;414204.0;1845959.0;0.0;2024498.0
2000;Junho;AM;11514488.0;19.0;2298595.0;60914113.0;0.0;13032551.0
2000;Junho;BA;11585291.0;0.0;6420378.0;80526031.0;0.0;29214866.0
2000;Junho;CE;3861043.0;0.0;5602227.0;33096792.0;0.0;16603358.0
2000;Junho;DF;2163431.0;0.0;9372879.0;99361022.0;0.0;204888877.0
2000;Junho;ES;53653276.0;0.0;3950898.0;39564123.0;0.0;11702574.0
2000;Junho;GO;8590298.0;0.0;5161210.0;48401296.0;0.0;11017458.0
2000;Junho;MA;4444557.0;0.0;1610222.0;10715003.0;0.0;5413378.0
2000;Junho;MT;563682.0;15.0;2264268.0;15626007.0;0.0;4990841.0
2000;Junho;MS;208284.0;0.0;3469492.0;11232829.0;0.0;4756785.0
2000;Junho;MG;38743074.0;15.0;23166144.0;199278720.0;0.0;68961903.0
2000;Junho;PA;1605676.0;44.0;3448288.0;17731840.0;0.0;11821771.0
2000;Junho;PB;1627674.0;0.0;2258766.0;11074955.0;0.0;9254924.0
2000;Junho;PR;67144952.0;15.0;17303134.0;143574259.0;0.0;41226624.0
2000;Junho;PE;7436127.0;632.0;6986052.0;48703575.0;0.0;27642868.0
2000;Junho;PI;240532.0;0.0;1589387.0;6618692.0;0.0;4002188.0
2000;Junho;RJ;50806105.0;156.0;60192387.0;723394582.0;0.0;244996640.0
2000;Junho;RN;784896.0;0.0;1924581.0;11947652.0;0.0;9349240.0
2000;Junho;RS;27524502.0;4951.0;27007376.0;219283535.0;0.0;64353221.0
2000;Junho;RO;30983.0;0.0;919858.0;5477551.0;0.0;5692063.0
2000;Junho;RR;563.0;0.0;387018.0;1358805.0;0.0;1342998.0
2000;Junho;SC;16010501.0;74.0;7147132.0;88816489.0;0.0;23236222.0
2000;Junho;SP;385924731.0;8445.0;136331371.0;1341835042.0;0.0;506716541.0
2000;Junho;SE;792597.0;0.0;1897906.0;9066964.0;0.0;4130131.0
2000;Junho;TO;703.0;0.0;369483.0;2981997.0;0.0;893902.0
2000;Julho;AC;258.0;13.0;482642.0;1505683.0;0.0;344657.0
2000;Julho;AL;965805.0;17717.0;1559544.0;8793838.0;0.0;2560253.0
